question,rank,movie,chunk_preview
What crime is Andy Dufresne convicted of in The Shawshank Re...,1,The Shawshank Redemption,"== Plot == In 1947, Portland, Maine, banker Andy Dufresne arrives at Shawshank State Prison to serve two consecutive life sentences for murdering his ..."
What crime is Andy Dufresne convicted of in The Shawshank Re...,2,The Shawshank Redemption,". While guards search for him, Andy poses as Randall Stephens and withdraws over $370,000 of the laundered money from various banks, before mailing th..."
What crime is Andy Dufresne convicted of in The Shawshank Re...,3,The Shawshank Redemption,". Just as Andy can be interpreted as a Christ-like figure, he can be seen as a Zarathustra-like prophet offering escape through education and the expe..."
What is the name of the spinning top object used in Inceptio...,1,Inception (film),"Inception is a 2010  science fiction heist film written and directed by Christopher Nolan, who also produced it with his wife Emma Thomas. The film st..."
What is the name of the spinning top object used in Inceptio...,2,Inception (film),". Cobb uses a top that spins indefinitely in a dream to verify that he is in the real world, but joins his children before he can observe the result...."
What is the name of the spinning top object used in Inceptio...,3,Inception (film),". Nolan took a long time re-writing the script in order ""to make sure that the emotional journey of his [DiCaprio's] character was the driving force o..."
Who directed The Godfather?...,1,The Godfather,"The Godfather is a 1972 American epic gangster film directed by Francis Ford Coppola, who co-wrote the screenplay with Mario Puzo based on Puzo's best..."
Who directed The Godfather?...,2,The Godfather,. It was followed by the sequels The Godfather Part II (1974) and The Godfather Part III (1990)....
Who directed The Godfather?...,3,The Godfather,". It is the first installment in The Godfather trilogy, which chronicles the Corleone family under patriarch Vito Corleone (Brando) and the transforma..."
"In Pulp Fiction, what do Vincent and Jules do for a living?...",1,Pulp Fiction,"Jules and Vincent meet Marsellus at a bar, where Marsellus is bribing an aging Butch to intentionally lose in his upcoming boxing match. The following..."
"In Pulp Fiction, what do Vincent and Jules do for a living?...",2,Pulp Fiction,". Jules tells Vincent that he plans to retire from his life of crime, convinced that their survival at the apartment was divine intervention...."
"In Pulp Fiction, what do Vincent and Jules do for a living?...",3,Pulp Fiction,"While Jules is driving, Vincent accidentally shoots Marvin in the head, covering them in blood. They hide the car at the home of Jules' friend Jimmie,..."
Who plays the Joker in The Dark Knight?...,1,The Dark Knight,". Their efforts are derailed by the Joker, an anarchistic mastermind who seeks to test how far Batman will go to save the city from chaos. The cast in..."
Who plays the Joker in The Dark Knight?...,2,The Dark Knight,". Melinda McGraw, Nathan Gamble, and Hannah Gunn portray Gordon's wife Barbara, his son James Jr., and his daughter, respectively. The Dark Knight fea..."
Who plays the Joker in The Dark Knight?...,3,The Dark Knight,The Dark Knight was marketed with an innovative interactive viral campaign that initially focused on countering criticism of Ledger's casting by those...
